id,parent,base_TransformedCentroid_x,slot_Centroid_x,base_TransformedCentroid_y,slot_Centroid_y,base_PsfFlux_instFlux,base_PsfFlux_instFluxErr,base_PsfFlux_area,base_PsfFlux_chi2,base_PsfFlux_npixels,base_PsfFlux_flag,base_PsfFlux_flag_noGoodPixels,base_PsfFlux_flag_edge,base_InvalidPsf_flag,scienceFlux,scienceFluxErr,mjd,date,band,detector,visit,scienceMag,scienceMagErr
1,0,1613.405706889744,1613.405706889744,2603.9615743226186,2603.9615743226186,132683.26440001413,640.6301368833541,107.81481,10822491.0,1681,False,False,False,False,132683.26440001413,642.0386792286475,56423.15801922868,2013-05-11 03:47:32.861358,i,21,205419,18.592959630236813,0.00525374953688251
1,0,1610.4336649306617,1610.4336649306617,2550.904785229301,2550.904785229301,40452.97056443291,379.1721664462974,131.3903,1581365.0,1681,False,False,False,False,40452.97056443291,379.2016199758547,56423.16100061727,2013-05-11 03:51:50.453332,g,21,205421,19.88262395383307,0.010177569705417519
1,0,1561.869736637956,1561.869736637956,2611.320288226072,2611.320288226072,101703.19129800731,507.8394678962234,81.4854,8885221.0,1681,False,False,False,False,101703.19129800731,508.2010512866904,56423.306613221284,2013-05-11 07:21:31.382319,i,21,205490,18.881663548337933,0.005425319241569498
1,0,1554.784919059271,1554.784919059271,2680.4335407415974,2680.4335407415974,33710.43190821958,325.8575261303449,108.997116,1856500.0,1681,False,False,False,False,33710.43190821958,325.87178242959794,56423.30961464511,2013-05-11 07:25:50.705338,g,21,205492,20.080589207828773,0.010495587634598335
1,0,1570.156165870968,1570.156165870968,2690.405863013824,2690.405863013824,83015.86979070985,481.899526171706,73.079605,8761560.0,1681,False,False,False,False,83015.86979070985,482.1270455573018,56423.38788261537,2013-05-11 09:18:33.057968,i,21,205532,19.10209719364657,0.006305574945782407
1,0,1576.8150468812828,1576.8150468812828,2732.827882760401,2732.827882760401,21835.468319066375,262.42180447317634,79.981705,1994036.9,1681,False,False,False,False,21835.468319066375,262.4270326200135,56423.39086791238,2013-05-11 09:22:50.987629,g,21,205534,20.552093722637434,0.013048794111459388
1,0,1608.3501388611594,1608.3501388611594,2601.080529216237,2601.080529216237,68516.14532049003,576.7867143800422,62.48591,7423312.5,1681,False,False,False,False,68516.14532049003,576.8267016991701,56424.21107603574,2013-05-12 05:03:56.969488,i,21,205705,19.310517695451765,0.009140643142963189
1,0,1598.9503713271372,1598.9503713271372,2638.592963482135,2638.592963482135,27234.05441754988,355.04705028974865,82.645004,1357778.0,1681,False,False,False,False,27234.05441754988,355.0610855460485,56424.21404896289,2013-05-12 05:08:13.830393,g,21,205707,20.312219247724816,0.014155170198589553
1,0,1551.1603833132408,1551.1603833132408,2708.0670538729682,2708.0670538729682,19630.04910670129,302.0569389994941,73.7595,1660301.2,1681,False,False,False,False,19630.04910670129,302.0637382060572,56424.304068709695,2013-05-12 07:17:51.536518,g,21,205738,20.667696534909467,0.016707117487695867
1,0,1628.881217669693,1628.881217669693,2635.783065208008,2635.783065208008,22372.149605503455,243.03500639550055,73.0184,2039017.4,1681,False,False,False,False,22372.149605503455,243.04064289222094,56424.38339765392,2013-05-12 09:12:05.557298,g,21,205770,20.525730712874562,0.011794933873983343
1,0,1739.3461415890488,1739.3461415890488,2558.0583822311887,2558.0583822311887,18615.183616751325,207.10367366014896,53.856384,2268353.5,1681,False,False,False,False,18615.183616751325,207.10878656319002,56450.104735657085,2013-06-07 02:30:49.160772,g,21,209474,20.72533168905869,0.012079682506748348
1,0,1684.2626097507207,1684.2626097507207,2601.0600639533523,2601.0600639533523,18432.06382007256,198.64154407918215,55.322186,2437119.2,1681,False,False,False,False,18432.06382007256,198.64584161124446,56450.22411307968,2013-06-07 05:22:43.370085,g,21,209536,20.73606508632995,0.011701184645807506
1,0,1691.5663917008628,1691.5663917008628,2645.5454173345465,2645.5454173345465,15093.27763782751,203.0886755961269,52.04037,2195361.2,1681,False,False,False,False,15093.27763782751,203.09186213661354,56450.32878839586,2013-06-07 07:53:27.317402,g,21,209584,20.953041097802153,0.014609430297686278
1,0,1700.7845891796185,1700.7845891796185,2537.998373558984,2537.998373558984,96667.23673933871,485.8424616661674,69.476234,7673260.5,1681,False,False,False,False,96667.23673933871,486.1300023029177,56451.105774657306,2013-06-08 02:32:18.930391,i,21,209784,18.936801739154717,0.005460060321602622
1,0,1700.6730281769956,1700.6730281769956,2581.436544703907,2581.436544703907,22747.36233229948,274.90987469227963,81.98602,2017252.6,1681,False,False,False,False,22747.36233229948,274.915961121641,56451.108752463464,2013-06-08 02:36:36.212843,g,21,209786,20.507672386631395,0.013121794425888966
1,0,1668.0474425260559,1668.0474425260559,2585.0678817869843,2585.0678817869843,21532.870487034554,224.4377922647486,63.909035,2244615.8,1681,False,False,False,False,21532.870487034554,224.44309229051296,56451.19129029015,2013-06-08 04:35:27.481069,g,21,209828,20.567245179321567,0.011316930148927852
1,0,1679.1886793559581,1679.1886793559581,2647.6296091557765,2647.6296091557765,19428.704914304566,220.21405199390645,63.81624,2270895.8,1681,False,False,False,False,19428.704914304566,220.21869197276166,56451.29002124847,2013-06-08 06:57:37.835868,g,21,209882,20.678890369488272,0.0123065025638053
1,0,1730.7102441500467,1730.7102441500467,2666.0798841493875,2666.0798841493875,19426.041646506863,270.4408645523301,76.80976,1860894.2,1681,False,False,False,False,19426.041646506863,270.44619970943387,56452.04643471974,2013-06-09 01:06:51.959786,g,21,210110,20.679039211343202,0.015115443269760526
1,0,1722.6895141408252,1722.6895141408252,2590.2481191882152,2590.2481191882152,17028.096281291084,203.7952311523142,55.412785,2463533.0,1681,False,False,False,False,17028.096281291084,203.7993535349382,56452.140646989785,2013-06-09 03:22:31.899917,g,21,210165,20.82208475718463,0.012994543428926808
1,0,1680.2700839052566,1680.2700839052566,2617.218460403077,2617.218460403077,16442.17656953389,193.1890295290865,53.258976,2473998.8,1681,False,False,False,False,16442.17656953389,193.1926358228318,56452.22939245176,2013-06-09 05:30:19.507832,g,21,210218,20.860101730741583,0.012757206341778573
1,0,1681.8383132641375,1681.8383132641375,2673.8359057617254,2673.8359057617254,18027.8971068122,233.474986039329,62.33136,2088034.0,1681,False,False,False,False,18027.8971068122,233.47923141179643,56452.316673620924,2013-06-09 07:36:00.600848,g,21,210271,20.760137323262025,0.014061365732284994
1,0,1680.844222502465,1680.844222502465,2675.8603235672813,2675.8603235672813,33148.948386372555,350.29617339419417,112.26087,1637340.8,1681,False,False,False,False,33148.948386372555,350.31115312058915,56452.385934780585,2013-06-09 09:15:44.765043,g,21,210307,20.098825611378768,0.011473833119543286
1,0,1735.3909248957111,1735.3909248957111,2539.9466698735564,2539.9466698735564,95619.66749610602,444.55985950089763,70.72494,8864839.0,1681,False,False,False,False,95619.66749610602,445.0144411617051,56453.11086645015,2013-06-10 02:39:38.861293,i,21,210506,18.94863192708837,0.005053022072359183
1,0,1731.1064682436631,1731.1064682436631,2559.1054217296196,2559.1054217296196,17544.155321790753,1668.5231894774017,105.9285,162124.94,1681,False,False,False,False,17544.155321790753,1668.697559030711,56453.11387955057,2013-06-10 02:43:59.193169,g,21,210508,20.789668841051757,0.10326888478813523
1,0,1692.0458646737547,1692.0458646737547,2576.1768229619624,2576.1768229619624,10937.59338271085,1359.9735770042269,66.65317,200266.8,1681,False,False,False,False,10937.59338271085,1360.0657404804463,56453.19926879747,2013-06-10 04:46:56.824101,g,21,210555,21.302695565113122,0.1350089149981553
1,0,1676.8392526525965,1676.8392526525965,2608.52866241988,2608.52866241988,73153.75821263305,1068.604309515469,52.746048,3752544.5,1681,False,False,False,False,73153.75821263305,1068.7883983584618,56453.26654738872,2013-06-10 06:23:49.694385,i,21,210595,19.23940839363198,0.015862783918090494
1,0,1675.8864533418443,1675.8864533418443,2609.0235222398096,2609.0235222398096,19487.43588991547,582.0434696879058,61.40073,695300.9,1681,False,False,False,False,19487.43588991547,582.0852007308963,56453.26952387935,2013-06-10 06:28:06.863176,g,21,210597,20.675613251374557,0.032430689201881385
1,0,1665.9401165845484,1665.9401165845484,2645.1413243773013,2645.1413243773013,46062.30514186822,11301.319489702677,46.295616,217909.19,1681,False,False,False,False,46062.30514186822,11310.951343176055,56453.33885198265,2013-06-10 08:07:56.811301,i,21,210631,19.7416358299903,0.26661082952145426
1,0,1679.0046726091352,1679.0046726091352,2607.0617433882626,2607.0617433882626,16908.31687761018,1548.7147763182395,89.13094,194365.69,1681,False,False,False,False,16908.31687761018,1548.849431546922,56453.410723695386,2013-06-10 09:51:26.527281,g,21,210669,20.829749054208918,0.09945649325843627
1,0,1742.0058758860512,1742.0058758860512,2650.4994680388763,2650.4994680388763,95269.42643171884,1632.69347401852,83.46486,3950377.2,1681,False,False,False,False,95269.42643171884,1632.8727306720348,56465.02112105228,2013-06-22 00:30:24.858917,i,21,216042,18.95261612359634,0.018609002991358856
1,0,1730.8808624601909,1730.8808624601909,2595.8442884067126,2595.8442884067126,120371.27499646612,1702.275015594736,95.70665,3597189.5,1681,False,False,False,False,120371.27499646612,1702.5228187896869,56465.02180582924,2013-06-22 00:31:24.023646,i,21,216043,18.698692848287646,0.01535657625825676
1,0,1620.121102754146,1620.121102754146,2613.070935384807,2613.070935384807,119872.95906792331,1685.100739800599,95.080414,3730957.2,1681,False,False,False,False,119872.95906792331,1685.3450303729705,56465.02312054129,2013-06-22 00:33:17.614768,i,21,216044,18.703196934914704,0.015264828124817421
1,0,1607.9355686370332,1607.9355686370332,2602.2354138244095,2602.2354138244095,83098.14094484207,1623.3279897527732,86.75338,3874755.0,1681,False,False,False,False,83098.14094484207,1623.4535207213114,56465.02384383953,2013-06-22 00:34:20.107736,i,21,216045,19.101021730143444,0.02121157277584785
1,0,1607.0224792793529,1607.0224792793529,2545.4801678427143,2545.4801678427143,128030.98716550918,1014.776171964886,101.30135,5810791.0,1681,False,False,False,False,128030.98716550918,1014.992315833263,56465.025553162755,2013-06-22 00:36:47.793262,i,21,216046,18.631712264819736,0.008607399890050585
1,0,1593.7079088006453,1593.7079088006453,2560.660747024182,2560.660747024182,85777.13784274849,878.4742046677961,80.16931,5282660.0,1681,False,False,False,False,85777.13784274849,878.5434536521285,56465.046634068,2013-06-22 01:07:09.183475,i,21,216058,19.066571122796528,0.011120287515678636
1,0,1600.4540145720696,1600.4540145720696,2537.9284276218455,2537.9284276218455,97087.88073984024,819.720431233223,86.54532,6024411.0,1681,False,False,False,False,97087.88073984024,819.8081349476375,56465.06635792333,2013-06-22 01:35:33.324576,i,21,216070,18.93208744676199,0.009167934929520359
1,0,1601.725466877095,1601.725466877095,2521.9787160448413,2521.9787160448413,81459.25145836166,693.914530033468,59.83129,4381307.0,1681,False,False,False,False,81459.25145836166,694.0579558354262,56465.08615481768,2013-06-22 02:04:03.776248,i,21,216082,19.122648962576825,0.009250807457224541
1,0,1597.4813457536825,1597.4813457536825,2522.2437254835772,2522.2437254835772,67462.12487939303,801.0488148747361,64.76579,4504057.0,1681,False,False,False,False,67462.12487939303,801.1090499506782,56465.10662648738,2013-06-22 02:33:32.528510,i,21,216094,19.32734995949535,0.012893058157385834
1,0,1599.5787821898527,1599.5787821898527,2520.4108168229227,2520.4108168229227,76549.8740477035,842.1780513344747,70.179276,4381853.5,1681,False,False,False,False,76549.8740477035,842.2480789873456,56465.12584083817,2013-06-22 03:01:12.648418,i,21,216106,19.190138798842526,0.011945927333266194
1,0,1590.7728948963309,1590.7728948963309,2527.274779885169,2527.274779885169,66745.82244468654,870.2877620406828,66.00925,4232957.0,1681,False,False,False,False,66745.82244468654,870.34645106016,56465.145140583576,2013-06-22 03:29:00.146421,i,21,216118,19.338939777942045,0.014157689844662202
1,0,1580.3453591412729,1580.3453591412729,2517.608501361461,2517.608501361461,76453.18505581588,1026.747818884897,66.39634,3276965.8,1681,False,False,False,False,76453.18505581588,1026.8871579385163,56465.16453725402,2013-06-22 03:56:56.018748,i,21,216130,19.19151104268763,0.01458315392303218
1,0,1561.5451718477082,1561.5451718477082,2561.567697535552,2561.567697535552,97818.87762668837,623.2317483443053,76.015656,7013866.5,1681,False,False,False,False,97818.87762668837,623.3882140449001,56465.18445828489,2013-06-22 04:25:37.195815,i,21,216142,18.92394331144714,0.006919269266113459
1,0,1847.725624551657,1847.725624551657,2685.638659465865,2685.638659465865,226020.98086246927,1909.6791206445926,162.2099,5197884.0,1681,False,False,False,False,226020.98086246927,1912.119104664483,56467.02654142221,2013-06-24 00:38:13.178879,i,21,216988,18.014628111756842,0.009185239935788
1,0,1685.0789134665981,1685.0789134665981,2567.2735288050458,2567.2735288050458,137626.8727084697,1323.3326400458477,97.71612,4228982.0,1681,False,False,False,False,137626.8727084697,1323.5874458202345,56467.08414947204,2013-06-24 02:01:10.514384,i,21,217027,18.553241896182698,0.010441760259527639
1,0,1688.3381767890712,1688.3381767890712,2566.091250394801,2566.091250394801,127309.20560040345,1221.090739962748,103.68066,5164996.0,1681,False,False,False,False,127309.20560040345,1221.2906164940393,56467.09975546534,2013-06-24 02:23:38.872205,i,21,217037,18.637850479536112,0.010415581753145055
1,0,1684.2654388549413,1684.2654388549413,2571.8491822392307,2571.8491822392307,143747.86449801203,1233.734987360116,97.7473,4304647.5,1681,False,False,False,False,143747.86449801203,1233.9366865478755,56467.11551721866,2013-06-24 02:46:20.687692,i,21,217047,18.50599649605006,0.009319997480608414
1,0,1678.1566286965533,1678.1566286965533,2577.219806688723,2577.219806688723,101998.32475649264,1079.9746679791829,83.29211,4093452.2,1681,False,False,False,False,101998.32475649264,1080.092575327435,56467.131680473554,2013-06-24 03:09:37.192915,i,21,217057,18.878517402825246,0.011497204648440035
1,0,1673.0351381606642,1673.0351381606642,2581.0007935949056,2581.0007935949056,115369.08969904126,1147.795083870977,104.75183,5006343.0,1681,False,False,False,False,115369.08969904126,1147.947746732306,56467.14757101791,2013-06-24 03:32:30.135947,i,21,217067,18.744776335214965,0.010803313374918116
1,0,1714.484253398809,1714.484253398809,2587.2442584158275,2587.2442584158275,180931.86335787232,1341.9144599465697,130.12466,5682382.0,1681,False,False,False,False,180931.86335787232,1342.3161439632565,56467.16443384562,2013-06-24 03:56:47.084261,i,21,217077,18.256212360325087,0.008054972787460774
1,0,1720.0943805419593,1720.0943805419593,2620.2456245799885,2620.2456245799885,147161.0433031918,1180.2341610841245,104.072975,4939030.5,1681,False,False,False,False,147161.0433031918,1180.4988471812678,56467.181014518086,2013-06-24 04:20:39.654363,i,21,217087,18.480517854711458,0.00870957632054337
1,0,1649.0175104810785,1649.0175104810785,2535.896719312648,2535.896719312648,24620.14760514289,279.97307819314517,85.257515,1908786.9,1681,False,False,False,False,24620.14760514289,279.9804339449959,56508.98064513873,2013-08-04 23:32:07.739986,g,21,223465,20.421773369179206,0.012346997208679397
1,0,1613.168751848359,1613.168751848359,2559.475261192228,2559.475261192228,21541.680651197566,235.06644321682236,65.62026,2196500.2,1681,False,False,False,False,21541.680651197566,235.07229038252677,56509.04625298883,2013-08-05 01:06:36.258235,g,21,223501,20.566801041700522,0.011848030826208387
